PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40132181,Detection of Clinically Significant Drug-Drug Interactions in Fatal Torsades de Pointes: Disproportionality Analysis of the Food and Drug Administration Adverse Event Reporting System.,2025,N/A,N/A,N/A
40132166,How I treat chronic myeloid leukemia in children and adolescents.,2025,Meinolf Suttorp,"Medical Faculty, Technical Univ. of Dresden, Dresden, Germany.",N/A
40132163,Optimizing skin cancer screening with convolutional neural networks in smart healthcare systems.,2025,N/A,N/A,N/A
40132159,"The Relationship Between Chronic Postoperative Pain and Circulating Inflammatory Biomarkers (CC-Chemokine Ligand 5, Adiponectin, and Resistin) After Fracture-Related Surgery in Pain Chronification.",2025,N/A,N/A,N/A
40132158,"General Practitioners' Needs and Preferences Regarding the Provision of Self-sampling Tests for Cervical Cancer Screening in Flanders, Belgium.",2025,N/A,N/A,N/A
40132152,Implementation of a Multicancer Detection (MCD) Test in a Tertiary Referral Center in Asymptomatic Patients: An 18-Month Prospective Cohort Study.,2025,"Ryan T Hurt, Aditya K Ghosh, Brian M Dougan, Elizabeth A Gilman, Bradley R Salonen, Jay Adusumalli, Sara L Bonnes, Carl A Andersen, Amirala S Pasha, Sanjeev Nanda, Erin M Pagel, Christina D Verness, Steven D Crowley, Steven W Ressler, Jewel J Samadder, Richard J Presutti, Aadel A Chaudhuri, William Sanchez, Ivana T Croghan, Christopher R Stephenson, Karthik Ghosh","Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Scottsdale, AZ, USA., Mayo Clinic, Scottsdale, AZ, USA., Mayo Clinic, Jacksonville, FL, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA., Mayo Clinic, Rochester, MN, USA.",N/A
40132148,,2025,"David Groheux, Sofia C Vaz, Philip Poortmans, John P Pilkington Woll, Isabel T Rubio, Fatima Cardoso","Department of Nuclear Medicine, Saint-Louis Hospital, Paris, France., Department of Nuclear Medicine and Radiopharmacology, Champalimaud Clinical Center, Champalimaud Foundation, Lisbon, Portugal., Department of Radiation Oncology, Iridium Netwerk, Antwerp, Belgium., Department of PET-CT, Clinica Delgado AUNA, Lima, Perú., Department of Breast Surgical Oncology, Clinica Universidad de Navarra, Madrid, Spain., Breast Unit, Champalimaud Clinical Center, Champalimaud Foundation, Lisbon, Portugal.",N/A
40132143,Reply to: Importance of Defining Recurrence in Hepatocellular Carcinoma: Local or Both Local and Other Intrahepatic Recurrences?,2025,N/A,N/A,N/A
40132118,"Palliative and End-of-Life Disparities for Pediatric Hispanic, Spanish-Preferring Patients With Cancer.",2025,"Batool El-Atoum, Kellee Parker, Mark Fluchel","Department of Pediatrics, Division of Hematology/Oncology., Department of Pediatrics, Division of Hematology/Oncology., Department of Pediatrics, Division of Hematology/Oncology.",N/A
40132117,Neuropsychologic Resource Utilization in Solid Tumor Survivors at a Single Institution: A Retrospective Chart Review.,2025,N/A,N/A,N/A
